"gene","medianImp","trait"
"AT4G00955.1",2.11059931276744,"top.geometry.fluo.area..px.2."
"AT4G02420.1",2.55870523495048,"top.geometry.fluo.area..px.2."
"AT4G05060.1",2.11950987186986,"top.geometry.fluo.area..px.2."
"AT4G08390.1",2.61702464646411,"top.geometry.fluo.area..px.2."
"AT4G08920.1",2.01386562278841,"top.geometry.fluo.area..px.2."
"AT4G09510.1",2.03454143009266,"top.geometry.fluo.area..px.2."
"AT4G10040.1",2.27289399521646,"top.geometry.fluo.area..px.2."
"AT4G14390.1",2.25917809423192,"top.geometry.fluo.area..px.2."
"AT4G15760.1",2.20733544867793,"top.geometry.fluo.area..px.2."
"AT4G16140.1",2.21969946243404,"top.geometry.fluo.area..px.2."
"AT4G17486.1",2.75638653224193,"top.geometry.fluo.area..px.2."
"AT4G18197.1",2.30091819779271,"top.geometry.fluo.area..px.2."
"AT4G19420.1",2.26375982797042,"top.geometry.fluo.area..px.2."
"AT4G22710.1",2.83484597790499,"top.geometry.fluo.area..px.2."
"AT4G22890.1",2.66408061045505,"top.geometry.fluo.area..px.2."
"AT4G23130.2",2.18671986651584,"top.geometry.fluo.area..px.2."
"AT4G23180.1",2.36844986052971,"top.geometry.fluo.area..px.2."
"AT4G26400.2",2.39384633309311,"top.geometry.fluo.area..px.2."
"AT4G26780.1",2.32471755279428,"top.geometry.fluo.area..px.2."
"AT4G27450.1",2.52170387241068,"top.geometry.fluo.area..px.2."
"AT4G29020.1",2.2069136183337,"top.geometry.fluo.area..px.2."
"AT4G29050.1",2.16471859530505,"top.geometry.fluo.area..px.2."
"AT4G29950.1",2.14881827623644,"top.geometry.fluo.area..px.2."
"AT4G31550.1",1.96688334255101,"top.geometry.fluo.area..px.2."
"AT4G31590.1",2.10692334023806,"top.geometry.fluo.area..px.2."
"AT4G32340.1",2.32060738123686,"top.geometry.fluo.area..px.2."
"AT4G33500.1",2.93841290203548,"top.geometry.fluo.area..px.2."
"AT4G34030.1",2.35214736074161,"top.geometry.fluo.area..px.2."
"AT4G35770.1",2.86361814140384,"top.geometry.fluo.area..px.2."
"AT4G35850.1",2.31301721934545,"top.geometry.fluo.area..px.2."
"AT4G36910.1",2.63889510757738,"top.geometry.fluo.area..px.2."
"AT4G37930.1",2.30258818800614,"top.geometry.fluo.area..px.2."
"AT4G38550.1",2.00257802911098,"top.geometry.fluo.area..px.2."
"AT4G38950.1",2.38895810836767,"top.geometry.fluo.area..px.2."
"AT5G01881.1",2.27836055482368,"top.geometry.fluo.area..px.2."
"AT5G04460.1",2.08806954980128,"top.geometry.fluo.area..px.2."
"AT5G05320.1",2.20606573934654,"top.geometry.fluo.area..px.2."
"AT5G08335.1",2.28265890666873,"top.geometry.fluo.area..px.2."
"AT5G13410.1",2.00351567502143,"top.geometry.fluo.area..px.2."
"AT5G13930.1",2.12770807032832,"top.geometry.fluo.area..px.2."
"AT5G15740.1",2.25186336255701,"top.geometry.fluo.area..px.2."
"AT5G16350.1",2.24717382650817,"top.geometry.fluo.area..px.2."
"AT5G17700.1",2.83919195165134,"top.geometry.fluo.area..px.2."
"AT5G22270.1",2.36733407010896,"top.geometry.fluo.area..px.2."
"AT5G23380.1",2.26092494433358,"top.geometry.fluo.area..px.2."
"AT5G35170.1",2.55216780979806,"top.geometry.fluo.area..px.2."
"AT5G38990.1",2.15903936027749,"top.geometry.fluo.area..px.2."
"AT5G39020.1",2.23463797823648,"top.geometry.fluo.area..px.2."
"AT5G39590.1",2.24433045701992,"top.geometry.fluo.area..px.2."
"AT5G39790.1",2.25597435944422,"top.geometry.fluo.area..px.2."
"AT5G39840.1",2.16871038883172,"top.geometry.fluo.area..px.2."
"AT5G42300.1",2.06340323739984,"top.geometry.fluo.area..px.2."
"AT5G42765.1",2.09762655334842,"top.geometry.fluo.area..px.2."
"AT5G43470.1",2.25348020975001,"top.geometry.fluo.area..px.2."
"AT5G46490.2",2.51505314090986,"top.geometry.fluo.area..px.2."
"AT5G49650.1",2.31417558225834,"top.geometry.fluo.area..px.2."
"AT5G49970.1",2.1145644014884,"top.geometry.fluo.area..px.2."
"AT5G50920.1",2.47905473148244,"top.geometry.fluo.area..px.2."
"AT5G51660.1",2.09515466967728,"top.geometry.fluo.area..px.2."
"AT5G52750.1",2.29458530182846,"top.geometry.fluo.area..px.2."
"AT5G54290.2",2.14544887916162,"top.geometry.fluo.area..px.2."
"AT5G55460.1",2.05502667382073,"top.geometry.fluo.area..px.2."
"AT5G57655.2",2.28573322590277,"top.geometry.fluo.area..px.2."
"AT5G57660.1",2.08396281243607,"top.geometry.fluo.area..px.2."
"AT5G58940.1",2.28689791935655,"top.geometry.fluo.area..px.2."
"AT5G59020.1",2.42330589808802,"top.geometry.fluo.area..px.2."
"AT5G59890.1",2.28560029325714,"top.geometry.fluo.area..px.2."
"AT5G60680.1",2.26903730350421,"top.geometry.fluo.area..px.2."
"AT5G61030.1",2.19178344316265,"top.geometry.fluo.area..px.2."
"AT5G62210.1",2.34113247575374,"top.geometry.fluo.area..px.2."
"AT5G63620.1",2.51051619041451,"top.geometry.fluo.area..px.2."
"AT5G63800.1",2.5500268191024,"top.geometry.fluo.area..px.2."
"AT5G64710.1",2.3610297008186,"top.geometry.fluo.area..px.2."
"ATCG00040.1",2.32328806789203,"top.geometry.fluo.area..px.2."
"AT1G23140.1",2.2501893578638,"top.geometry.fluo.border.length..px."
"AT1G56150.1",2.20936619068799,"top.geometry.fluo.border.length..px."
"AT1G64390.1",2.31867074550025,"top.geometry.fluo.border.length..px."
"AT1G65060.1",2.37978053556631,"top.geometry.fluo.border.length..px."
"AT1G65260.1",2.26955451038202,"top.geometry.fluo.border.length..px."
"AT2G20725.1",2.24296094739651,"top.geometry.fluo.border.length..px."
"AT2G25080.1",2.15880397939883,"top.geometry.fluo.border.length..px."
"AT2G25790.1",2.12185408986321,"top.geometry.fluo.border.length..px."
"AT2G30950.1",2.20613707089723,"top.geometry.fluo.border.length..px."
"AT2G35490.1",2.23836246192723,"top.geometry.fluo.border.length..px."
"AT2G37260.1",2.2816341312489,"top.geometry.fluo.border.length..px."
"AT3G21560.1",2.30387886852344,"top.geometry.fluo.border.length..px."
"AT4G16770.1",2.30050474151426,"top.geometry.fluo.border.length..px."
"AT4G17486.1",2.40494678462285,"top.geometry.fluo.border.length..px."
"AT4G22710.1",2.21087658498758,"top.geometry.fluo.border.length..px."
"AT4G22890.1",2.20513972862447,"top.geometry.fluo.border.length..px."
"AT4G33500.1",2.52755117019737,"top.geometry.fluo.border.length..px."
"AT4G35850.1",2.09620705877102,"top.geometry.fluo.border.length..px."
"AT4G36910.1",2.31690454666989,"top.geometry.fluo.border.length..px."
"AT4G37930.1",2.22936806379234,"top.geometry.fluo.border.length..px."
"AT5G16350.1",2.16849491884958,"top.geometry.fluo.border.length..px."
"AT5G17700.1",2.31460080693616,"top.geometry.fluo.border.length..px."
"AT5G51970.1",2.30809273167345,"top.geometry.fluo.border.length..px."
"AT1G17190.1",2.2151762516256,"top.geometry.fluo.hull.area..px."
"AT1G29418.1",2.1887281152056,"top.geometry.fluo.hull.area..px."
"AT1G32960.1",2.16392811840423,"top.geometry.fluo.hull.area..px."
"AT1G48330.1",2.22675366657755,"top.geometry.fluo.hull.area..px."
"AT1G59960.1",2.14227270843207,"top.geometry.fluo.hull.area..px."
"AT1G65450.1",2.23983609453936,"top.geometry.fluo.hull.area..px."
"AT1G68870.1",2.2708651116784,"top.geometry.fluo.hull.area..px."
"AT2G25080.1",2.01825860764019,"top.geometry.fluo.hull.area..px."
"AT2G25790.1",2.12816857174672,"top.geometry.fluo.hull.area..px."
"AT2G32870.1",2.18649753268225,"top.geometry.fluo.hull.area..px."
"AT2G33530.1",2.31360389522739,"top.geometry.fluo.hull.area..px."
"AT2G34655.1",2.16586534790205,"top.geometry.fluo.hull.area..px."
"AT2G35490.1",2.09478947103428,"top.geometry.fluo.hull.area..px."
"AT3G21080.1",2.2499045144369,"top.geometry.fluo.hull.area..px."
"AT3G55605.1",2.1544056837781,"top.geometry.fluo.hull.area..px."
"AT4G16770.1",2.34262182840696,"top.geometry.fluo.hull.area..px."
"AT4G22890.1",2.06538334405456,"top.geometry.fluo.hull.area..px."
"AT4G23140.2",2.07404675191196,"top.geometry.fluo.hull.area..px."
"AT4G26780.1",2.2333702851097,"top.geometry.fluo.hull.area..px."
"AT4G33500.1",2.19245875873338,"top.geometry.fluo.hull.area..px."
"AT4G35770.1",2.03602974998197,"top.geometry.fluo.hull.area..px."
"AT4G35850.1",2.08558511157753,"top.geometry.fluo.hull.area..px."
"AT4G37930.1",2.12411493943453,"top.geometry.fluo.hull.area..px."
"AT5G02050.1",2.071686397402,"top.geometry.fluo.hull.area..px."
"AT5G07180.1",2.14583214737359,"top.geometry.fluo.hull.area..px."
"AT5G39790.1",2.14046386396397,"top.geometry.fluo.hull.area..px."
"AT5G51970.1",2.12399929860047,"top.geometry.fluo.hull.area..px."
"AT5G61030.1",2.1608093941777,"top.geometry.fluo.hull.area..px."
"AT1G63020.1",2.77314368847587,"top.geometry.fluo.hull.length"
"AT1G65260.1",2.56136679869896,"top.geometry.fluo.hull.length"
"AT2G19190.1",2.65819745620448,"top.geometry.fluo.hull.length"
"AT2G21260.1",2.81215369717522,"top.geometry.fluo.hull.length"
"AT2G30950.1",2.80464048319567,"top.geometry.fluo.hull.length"
"AT3G12040.1",2.56692217266171,"top.geometry.fluo.hull.length"
"AT3G50430.1",2.80330109675547,"top.geometry.fluo.hull.length"
"AT3G54060.1",2.63775856586474,"top.geometry.fluo.hull.length"
"AT3G59090.2",2.78848278227365,"top.geometry.fluo.hull.length"
"AT3G60180.2",2.64595156486771,"top.geometry.fluo.hull.length"
"AT3G61080.1",2.62056613133763,"top.geometry.fluo.hull.length"
"AT4G18520.1",2.607527716042,"top.geometry.fluo.hull.length"
"AT4G20910.1",2.64932857315572,"top.geometry.fluo.hull.length"
"AT4G22710.1",2.69027487734401,"top.geometry.fluo.hull.length"
"AT4G23140.2",2.73643573229219,"top.geometry.fluo.hull.length"
"AT4G37930.1",2.5900153976824,"top.geometry.fluo.hull.length"
"AT5G09840.1",2.66207453915661,"top.geometry.fluo.hull.length"
"AT5G10760.1",2.7309511695534,"top.geometry.fluo.hull.length"
"AT5G16350.1",2.74135564790515,"top.geometry.fluo.hull.length"
"AT5G38010.1",2.41949056801117,"top.geometry.fluo.hull.length"
"AT5G49650.1",2.76358336475074,"top.geometry.fluo.hull.length"
"AT5G55460.1",2.58999042477811,"top.geometry.fluo.hull.length"
"AT5G60680.1",2.6508670378238,"top.geometry.fluo.hull.length"
"AT5G61030.1",2.67631079411119,"top.geometry.fluo.hull.length"
"AT5G62850.1",2.60809001115993,"top.geometry.fluo.hull.length"
"AT1G24147.1",2.29789502547498,"top.geometry.fluo.hull.pc2..px."
"AT1G32960.1",2.41438641586922,"top.geometry.fluo.hull.pc2..px."
"AT1G53560.1",2.4107689702263,"top.geometry.fluo.hull.pc2..px."
"AT1G67260.1",2.27831209051077,"top.geometry.fluo.hull.pc2..px."
"AT1G69730.1",2.31907794835097,"top.geometry.fluo.hull.pc2..px."
"AT2G17040.1",2.25531022834004,"top.geometry.fluo.hull.pc2..px."
"AT2G23000.1",2.33208180922392,"top.geometry.fluo.hull.pc2..px."
"AT2G25790.1",2.31460351605583,"top.geometry.fluo.hull.pc2..px."
"AT2G30950.1",2.35912910060205,"top.geometry.fluo.hull.pc2..px."
"AT2G35490.1",2.40386166874554,"top.geometry.fluo.hull.pc2..px."
"AT3G55605.1",2.29261253721143,"top.geometry.fluo.hull.pc2..px."
"AT4G17486.1",2.45588770046205,"top.geometry.fluo.hull.pc2..px."
"AT4G22890.1",2.26883988950261,"top.geometry.fluo.hull.pc2..px."
"AT4G23140.2",2.21907988089796,"top.geometry.fluo.hull.pc2..px."
"AT4G33500.1",2.89637123313795,"top.geometry.fluo.hull.pc2..px."
"AT4G35770.1",2.25892608154656,"top.geometry.fluo.hull.pc2..px."
"AT4G35850.1",2.21564552723353,"top.geometry.fluo.hull.pc2..px."
"AT5G07180.1",2.34281373450261,"top.geometry.fluo.hull.pc2..px."
"AT5G16350.1",2.25940516371683,"top.geometry.fluo.hull.pc2..px."
"AT5G48657.1",2.34612079384474,"top.geometry.fluo.hull.pc2..px."
"AT5G50920.1",2.415414799995,"top.geometry.fluo.hull.pc2..px."
"AT5G51970.1",2.83111221808308,"top.geometry.fluo.hull.pc2..px."
"AT1G03400.1",2.9239824258437,"top.geometry.fluo.leaf.length.mean..px."
"AT1G04970.1",3.94890572647585,"top.geometry.fluo.leaf.length.mean..px."
"AT1G11530.1",3.39331940870149,"top.geometry.fluo.leaf.length.mean..px."
"AT1G12010.1",2.90035172839474,"top.geometry.fluo.leaf.length.mean..px."
"AT1G13260.1",3.16121966879131,"top.geometry.fluo.leaf.length.mean..px."
"AT1G13750.1",3.3329583839585,"top.geometry.fluo.leaf.length.mean..px."
"AT1G18830.1",3.32505794250395,"top.geometry.fluo.leaf.length.mean..px."
"AT1G22040.1",3.44615271109123,"top.geometry.fluo.leaf.length.mean..px."
"AT1G22370.2",2.95951751166514,"top.geometry.fluo.leaf.length.mean..px."
"AT1G22790.1",3.6497786688947,"top.geometry.fluo.leaf.length.mean..px."
"AT1G29280.1",3.55294718485277,"top.geometry.fluo.leaf.length.mean..px."
"AT1G49050.1",3.29687449747668,"top.geometry.fluo.leaf.length.mean..px."
"AT1G53180.1",3.11750978159228,"top.geometry.fluo.leaf.length.mean..px."
"AT1G56140.1",3.23979836648959,"top.geometry.fluo.leaf.length.mean..px."
"AT1G63020.1",3.3118152385481,"top.geometry.fluo.leaf.length.mean..px."
"AT1G67000.1",2.98223748719812,"top.geometry.fluo.leaf.length.mean..px."
"AT1G69440.1",3.15096668114452,"top.geometry.fluo.leaf.length.mean..px."
"AT1G72190.1",2.99591541722085,"top.geometry.fluo.leaf.length.mean..px."
"AT2G25710.1",3.13584214217824,"top.geometry.fluo.leaf.length.mean..px."
"AT2G31020.1",4.40269378686197,"top.geometry.fluo.leaf.length.mean..px."
"AT2G33110.1",3.32515517918965,"top.geometry.fluo.leaf.length.mean..px."
"AT2G40600.1",3.05486476023603,"top.geometry.fluo.leaf.length.mean..px."
"AT2G40750.1",3.41003764922372,"top.geometry.fluo.leaf.length.mean..px."
"AT2G41430.1",2.97302761618769,"top.geometry.fluo.leaf.length.mean..px."
"AT2G42040.1",3.47790975499055,"top.geometry.fluo.leaf.length.mean..px."
"AT2G43445.1",2.92483307568169,"top.geometry.fluo.leaf.length.mean..px."
"AT2G44850.1",3.26926767533956,"top.geometry.fluo.leaf.length.mean..px."
"AT3G05200.1",2.9211940332678,"top.geometry.fluo.leaf.length.mean..px."
"AT3G06210.1",3.46700611352668,"top.geometry.fluo.leaf.length.mean..px."
"AT3G12220.1",3.48167112504072,"top.geometry.fluo.leaf.length.mean..px."
"AT3G12260.1",3.05615488768985,"top.geometry.fluo.leaf.length.mean..px."
"AT3G12560.1",3.66358383083681,"top.geometry.fluo.leaf.length.mean..px."
"AT3G13450.1",3.16277721955488,"top.geometry.fluo.leaf.length.mean..px."
"AT3G14230.1",3.14941589733458,"top.geometry.fluo.leaf.length.mean..px."
"AT3G15290.1",4.49125827330171,"top.geometry.fluo.leaf.length.mean..px."
"AT3G15450.1",3.81265679452838,"top.geometry.fluo.leaf.length.mean..px."
"AT3G16640.1",3.01814409864384,"top.geometry.fluo.leaf.length.mean..px."
"AT3G22231.1",3.51389795343691,"top.geometry.fluo.leaf.length.mean..px."
"AT3G22235.1",3.1126876735415,"top.geometry.fluo.leaf.length.mean..px."
"AT3G26220.1",3.51498734110318,"top.geometry.fluo.leaf.length.mean..px."
"AT3G44400.1",3.84972443454424,"top.geometry.fluo.leaf.length.mean..px."
"AT3G51430.1",4.18383150719994,"top.geometry.fluo.leaf.length.mean..px."
"AT3G52060.1",3.13985550336709,"top.geometry.fluo.leaf.length.mean..px."
"AT3G53280.1",3.14611872605864,"top.geometry.fluo.leaf.length.mean..px."
"AT3G54060.1",2.95854157669964,"top.geometry.fluo.leaf.length.mean..px."
"AT3G60180.2",3.22489236977424,"top.geometry.fluo.leaf.length.mean..px."
"AT4G04695.1",3.48660499732485,"top.geometry.fluo.leaf.length.mean..px."
"AT4G14390.1",3.41063797741986,"top.geometry.fluo.leaf.length.mean..px."
"AT4G15260.1",3.33027895389002,"top.geometry.fluo.leaf.length.mean..px."
"AT4G19420.1",3.18843964036008,"top.geometry.fluo.leaf.length.mean..px."
"AT4G22305.1",2.88225429124245,"top.geometry.fluo.leaf.length.mean..px."
"AT4G29950.1",4.9081264657922,"top.geometry.fluo.leaf.length.mean..px."
"AT4G33565.1",3.15437703640645,"top.geometry.fluo.leaf.length.mean..px."
"AT4G34600.1",3.60239117536591,"top.geometry.fluo.leaf.length.mean..px."
"AT4G35220.1",3.09821070588209,"top.geometry.fluo.leaf.length.mean..px."
"AT4G35300.1",3.16950502454942,"top.geometry.fluo.leaf.length.mean..px."
"AT4G39180.1",3.0108627971754,"top.geometry.fluo.leaf.length.mean..px."
"AT5G06330.1",3.44982190969586,"top.geometry.fluo.leaf.length.mean..px."
"AT5G14390.1",2.972225352,"top.geometry.fluo.leaf.length.mean..px."
"AT5G22270.1",3.49561454957111,"top.geometry.fluo.leaf.length.mean..px."
"AT5G42530.1",3.16217015508649,"top.geometry.fluo.leaf.length.mean..px."
"AT5G44820.1",4.50187501855917,"top.geometry.fluo.leaf.length.mean..px."
"AT5G46180.1",3.13047129226078,"top.geometry.fluo.leaf.length.mean..px."
"AT5G48657.1",3.09658154366123,"top.geometry.fluo.leaf.length.mean..px."
"AT5G53486.4",4.89085400683103,"top.geometry.fluo.leaf.length.mean..px."
"AT5G54610.1",2.96674992495392,"top.geometry.fluo.leaf.length.mean..px."
"AT5G57550.1",4.81919812037369,"top.geometry.fluo.leaf.length.mean..px."
"AT5G61500.1",2.99093466549728,"top.geometry.fluo.leaf.length.mean..px."
"AT5G62560.1",3.22472263215655,"top.geometry.fluo.leaf.length.mean..px."
"AT5G65760.1",3.0092292522085,"top.geometry.fluo.leaf.length.mean..px."
"AT5G67110.1",3.36468367627609,"top.geometry.fluo.leaf.length.mean..px."
"AT1G03090.2",2.40613076931291,"top.geometry.fluo.minrectangle.length.a..px."
"AT1G05580.1",2.50925633923288,"top.geometry.fluo.minrectangle.length.a..px."
"AT1G29418.1",2.30558590064654,"top.geometry.fluo.minrectangle.length.a..px."
"AT1G45010.1",2.25869425314268,"top.geometry.fluo.minrectangle.length.a..px."
"AT1G72160.1",2.32583041977089,"top.geometry.fluo.minrectangle.length.a..px."
"AT2G30950.1",2.98227215510574,"top.geometry.fluo.minrectangle.length.a..px."
"AT2G32520.1",2.6313169069191,"top.geometry.fluo.minrectangle.length.a..px."
"AT2G39690.1",2.55911922865181,"top.geometry.fluo.minrectangle.length.a..px."
"AT2G47630.1",2.24342684849441,"top.geometry.fluo.minrectangle.length.a..px."
"AT3G13950.1",3.1470187618242,"top.geometry.fluo.minrectangle.length.a..px."
"AT4G22890.1",2.89832708656257,"top.geometry.fluo.minrectangle.length.a..px."
"AT4G30930.1",2.26938914587456,"top.geometry.fluo.minrectangle.length.a..px."
"AT4G33500.1",2.55334123329039,"top.geometry.fluo.minrectangle.length.a..px."
"AT4G36780.1",2.27721219383502,"top.geometry.fluo.minrectangle.length.a..px."
"AT4G37930.1",2.56684458858909,"top.geometry.fluo.minrectangle.length.a..px."
"AT5G11920.1",2.72568315519473,"top.geometry.fluo.minrectangle.length.a..px."
"AT5G12000.1",2.89500244760909,"top.geometry.fluo.minrectangle.length.a..px."
"AT5G16350.1",2.23725569192246,"top.geometry.fluo.minrectangle.length.a..px."
"AT5G22620.1",2.42593826679248,"top.geometry.fluo.minrectangle.length.a..px."
"AT5G40830.1",2.254426632399,"top.geometry.fluo.minrectangle.length.a..px."
"AT5G41070.1",2.20555549561866,"top.geometry.fluo.minrectangle.length.a..px."
"AT5G49650.1",2.83271938630443,"top.geometry.fluo.minrectangle.length.a..px."
"AT5G51970.1",2.42337913674402,"top.geometry.fluo.minrectangle.length.a..px."
